month,역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
1,남성역,승차,1812,3774,1706,136763,70561,36910,32246.0,38483.0,6649.0,0.0,5.0,2.0,328911.0
1,남성역,하차,774,3268,2659,30952,68418,129066,15071.0,45016.0,17034.0,0.0,4.0,0.0,312262.0
1,남위례역,승차,1508,3778,2160,63009,51956,43452,12127.0,17785.0,4055.0,2.0,16.0,13.0,199861.0
1,남위례역,하차,817,3911,3287,43733,45690,71478,8445.0,17225.0,7740.0,2.0,11.0,7.0,202346.0
1,남태령역,승차,155,345,65,9012,12997,7044,3038.0,4815.0,488.0,0.0,7.0,0.0,37966.0
1,남태령역,하차,98,158,102,12503,5415,6281,1597.0,4506.0,1620.0,4.0,1.0,0.0,32285.0
1,남한산성입구역,승차,4023,6596,1688,162622,79325,38085,36777.0,35211.0,5500.0,2.0,1.0,4.0,369834.0
1,남한산성입구역,하차,668,4380,5345,43049,65263,141200,13803.0,42484.0,17275.0,0.0,3.0,1.0,333471.0
1,내방역,승차,1090,4890,2929,70792,117383,141949,19782.0,45123.0,11843.0,1.0,7.0,5.0,415794.0
1,내방역,하차,1704,5028,2603,167055,86871,84119,27862.0,35829.0,10849.0,1.0,16.0,8.0,421945.0
1,노원역,승차,8522,37171,34016,391152,416132,360366,90361.0,191346.0,46983.0,210.0,122.0,49.0,1576430.0
1,노원역,하차,13485,50722,24633,282078,465975,536277,86588.0,192093.0,54544.0,14.0,110.0,218.0,1706737.0
1,녹번역,승차,3591,6858,1975,220257,91250,42250,34143.0,39273.0,6134.0,11.0,13.0,6.0,445761.0
1,녹번역,하차,580,5786,5454,34030,85873,196588,13236.0,44521.0,21030.0,1.0,8.0,16.0,407123.0
1,녹사평역,승차,415,2480,1241,18315,43829,60558,5359.0,9726.0,2532.0,86.0,385.0,186.0,145112.0
1,녹사평역,하차,1473,1760,896,41204,49332,35206,5264.0,9441.0,2792.0,54.0,217.0,185.0,147824.0
1,논현역,승차,587,3914,5166,41378,155981,269668,9050.0,27259.0,9652.0,15.0,96.0,43.0,522809.0
1,논현역,하차,1941,6441,2406,273676,131971,78787,18252.0,21054.0,5329.0,18.0,103.0,50.0,540028.0
1,단대오거리역,승차,3050,5803,1911,145251,70378,42261,33499.0,35888.0,6755.0,3.0,13.0,4.0,344816.0
1,단대오거리역,하차,665,4435,4848,42277,66640,143850,14821.0,44188.0,15885.0,3.0,4.0,5.0,337621.0
1,답십리역,승차,2231,4336,1223,190012,110328,70028,29864.0,46378.0,11285.0,33.0,67.0,42.0,465827.0
1,답십리역,하차,537,3588,3200,72768,93520,167797,20015.0,49257.0,15294.0,24.0,56.0,45.0,426101.0
1,당고개역,승차,2328,4557,1593,112100,56781,25461,30180.0,36427.0,6462.0,0.0,13.0,5.0,275907.0
1,당고개역,하차,465,3570,3706,22486,45464,92221,13740.0,40635.0,17398.0,1.0,9.0,3.0,239698.0
1,당산역,승차,2398,5705,2103,160364,140971,135949,16418.0,31565.0,9709.0,5.0,31.0,18.0,505236.0
1,당산역,하차,1201,5127,4786,150082,135955,220566,17916.0,33708.0,11685.0,9.0,34.0,46.0,581115.0
1,대림역,승차,3620,8938,3315,348754,272370,168516,60109.0,92415.0,22389.0,141.0,343.0,145.0,981055.0
1,대림역,하차,2029,7720,6041,169680,306152,327550,46138.0,102046.0,30638.0,82.0,397.0,206.0,998679.0
1,대청역,승차,2854,6815,2101,96375,78055,52742,22024.0,33579.0,7272.0,10.0,18.0,10.0,301855.0
1,대청역,하차,730,5364,6419,57042,57102,99451,14704.0,33275.0,13410.0,4.0,13.0,16.0,287530.0
1,대치역,승차,2242,28142,41690,78339,85753,73572,21601.0,40283.0,10511.0,3.0,13.0,7.0,382156.0
