month,역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구,평균면적당 임대료_공유오피스,평균면적당 임대료_기타,평균면적당 임대료_무인프린트,평균면적당 임대료_밀키트,평균면적당 임대료_사무실,평균면적당 임대료_식음료,평균면적당 임대료_의약업,평균면적당 임대료_패션잡화,평균면적당 임대료_편의점,평균면적당 임대료_플라워,평균면적당 임대료_화상면접,평균면적당 임대료_화장품,공실수,점포수_공유오피스,점포수_기타,점포수_무인프린트,점포수_밀키트,점포수_사무실,점포수_식음료,점포수_의약업,점포수_패션잡화,점포수_편의점,점포수_플라워,점포수_화상면접,점포수_화장품
1,논현역,하차,1941,6441,2406,273676,131971,78787,18252.0,21054.0,5329.0,18.0,103.0,50.0,540028.0,0.0,72413.79310344828,0.0,0.0,0.0,101894.95501285348,63774.375,99125.92592592593,298266.2933930572,0.0,0.0,90305.08695652174,3,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0
1,단대오거리역,승차,3050,5803,1911,145251,70378,42261,33499.0,35888.0,6755.0,3.0,13.0,4.0,344816.0,0.0,0.0,0.0,46220.77215878195,0.0,0.0,0.0,50339.59248901318,191860.2769230769,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,단대오거리역,하차,665,4435,4848,42277,66640,143850,14821.0,44188.0,15885.0,3.0,4.0,5.0,337621.0,0.0,0.0,0.0,46220.77215878195,0.0,0.0,0.0,50339.59248901318,191860.2769230769,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,당고개역,승차,2328,4557,1593,112100,56781,25461,30180.0,36427.0,6462.0,0.0,13.0,5.0,275907.0,0.0,82866.37931034483,0.0,61843.98429132452,0.0,31328.614211815955,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,당고개역,하차,465,3570,3706,22486,45464,92221,13740.0,40635.0,17398.0,1.0,9.0,3.0,239698.0,0.0,82866.37931034483,0.0,61843.98429132452,0.0,31328.614211815955,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,당산역,승차,2398,5705,2103,160364,140971,135949,16418.0,31565.0,9709.0,5.0,31.0,18.0,505236.0,0.0,0.0,0.0,0.0,0.0,145355.44245608276,0.0,113200.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
1,당산역,하차,1201,5127,4786,150082,135955,220566,17916.0,33708.0,11685.0,9.0,34.0,46.0,581115.0,0.0,0.0,0.0,0.0,0.0,145355.44245608276,0.0,113200.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
1,대림역,승차,3620,8938,3315,348754,272370,168516,60109.0,92415.0,22389.0,141.0,343.0,145.0,981055.0,0.0,743469.5244474213,0.0,0.0,0.0,414239.2668842581,0.0,233158.8311643953,394348.98000403953,28401.23052607812,0.0,186264.2280285036,1,0.0,1.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,2.0,0.0,1.0
1,대림역,하차,2029,7720,6041,169680,306152,327550,46138.0,102046.0,30638.0,82.0,397.0,206.0,998679.0,0.0,743469.5244474213,0.0,0.0,0.0,414239.2668842581,0.0,233158.8311643953,394348.98000403953,28401.23052607812,0.0,186264.2280285036,1,0.0,1.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,2.0,0.0,1.0
1,대흥역,승차,1209,6110,5143,53952,70644,63640,12874.0,26791.0,5867.0,5.0,32.0,16.0,246283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65720.1740325166,159698.73333333334,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
