month,역명,영업업종,월임대료,점포수,평균 면적
1,도곡역,패션잡화,1488166.6666666667,3,24.426666666666662
1,도봉산역,식음료,1096650.0,2,41.0
1,도봉산역,패션잡화,1310000.0,1,36.0
1,독바위역,공실,0.0,1,85.0
1,독바위역,편의점,1839752.0,1,31.3
1,돌곶이역,기타,982333.0,1,22.0
1,돌곶이역,식음료,719300.0,1,37.0
1,돌곶이역,패션잡화,1733710.25,4,34.75
1,돌곶이역,편의점,6371979.0,1,37.8
1,동대문역,공실,0.0,2,22.200000000000003
1,동대문역,식음료,3209085.0,2,19.0
1,동대문역,패션잡화,4486760.625,8,28.79625
1,동대문역사문화공원역,사무실,1562000.0,2,46.1
1,동대문역사문화공원역,식음료,6823334.333333333,3,21.33333333333333
1,동대문역사문화공원역,패션잡화,5059796.0,6,44.68333333333334
1,동대문역사문화공원역,편의점,7122000.0,1,25.7
1,동대입구역,공실,0.0,3,23.78
1,동대입구역,기타,627300.0,2,25.25
1,동대입구역,사무실,311667.0,1,33.46
1,동대입구역,식음료,967850.0,2,33.334999999999994
1,동대입구역,편의점,1201000.0,1,17.04
1,동묘앞역,공실,0.0,2,28.0
1,동묘앞역,식음료,3550000.0,1,17.7
1,동묘앞역,편의점,5163592.0,1,48.0
1,동묘앞역,화장품,1267922.0,1,43.0
1,동작역,식음료,2540000.0,2,13.375
1,동작역,편의점,4730000.0,1,20.0
1,둔촌동역,식음료,2325104.0,3,24.46
1,둔촌동역,패션잡화,3900000.0,1,49.53
1,둔촌동역,편의점,3295500.0,1,29.0
1,디지털미디어시티역,공실,0.0,2,95.5
1,디지털미디어시티역,기타,1275300.0,2,35.0
1,디지털미디어시티역,식음료,1350000.0,1,30.0
1,디지털미디어시티역,의약업,4426000.0,2,154.125
1,디지털미디어시티역,패션잡화,1805480.0,1,31.64
1,디지털미디어시티역,편의점,4574703.0,1,33.0
1,디지털미디어시티역,화장품,1684136.0,1,33.0
1,뚝섬역,공실,0.0,1,31.2
1,뚝섬역,식음료,955000.0,2,19.085
1,뚝섬역,패션잡화,800000.0,1,14.23
1,뚝섬역,플라워,2259300.0,1,21.99
1,뚝섬유원지역,편의점,5262400.0,1,29.89
1,마들역,공실,0.0,2,39.0
1,마들역,공유오피스,2120183.0,1,230.7
1,마들역,기타,246600.0,10,34.7
1,마들역,무인프린트,505000.0,1,33.0
1,마들역,식음료,1700000.0,1,45.0
1,마들역,패션잡화,1120000.0,2,26.5
1,마들역,편의점,6137560.0,1,33.11
1,마들역,플라워,466600.0,1,33.0
1,마장역,편의점,2964000.0,1,30.0
1,마천역,편의점,2944500.0,1,30.0
1,마포구청역,공실,0.0,2,38.29
1,마포구청역,사무실,508200.0,1,73.0
1,마포구청역,패션잡화,1383300.0,1,40.0
1,마포구청역,편의점,6487761.0,1,39.0
1,마포구청역,화장품,1793009.0,1,51.0
1,마포역,기타,2960000.0,1,41.13
1,마포역,식음료,3861593.0,1,46.6
1,마포역,패션잡화,2368897.0,1,32.9
1,마포역,편의점,3549000.0,1,29.0
1,마포역,플라워,2350000.0,1,17.43
1,망원역,무인프린트,1333300.0,1,50.0
1,망원역,식음료,3545670.0,1,39.0
1,망원역,패션잡화,2120000.0,1,45.17
1,망원역,편의점,5682613.0,1,28.0
1,망원역,화장품,1052443.0,1,29.0
1,매봉역,식음료,1543300.0,2,17.705
1,매봉역,패션잡화,2016600.0,1,15.77
1,매봉역,편의점,2421000.0,1,16.0
1,먹골역,기타,1200000.0,1,35.0
1,먹골역,무인프린트,814212.0,1,34.0
1,먹골역,패션잡화,1282425.0,4,49.5
1,먹골역,편의점,6181890.0,1,24.38
1,면목역,공실,0.0,3,49.0
1,면목역,밀키트,4500300.0,1,64.0
1,면목역,식음료,4500000.0,1,32.0
1,면목역,의약업,4651600.0,2,106.0
