역명,영업업종,월임대료,점포수,평균 면적
명일역,기타,1067719.0,1,29.77
명일역,무인프린트,894900.0,1,25.05
명일역,패션잡화,2373300.0,1,44.27
명일역,편의점,3412500.0,1,30.0
모란역,편의점,3770665.0,1,50.0
목동역,식음료,4265000.0,2,24.700000000000003
목동역,패션잡화,3461505.5,2,26.9
목동역,편의점,5109000.0,1,30.0
목동역,화장품,2500000.0,1,23.69
몽촌토성역,편의점,5389832.0,1,36.0
문래역,식음료,2935933.3333333335,3,25.61
문래역,화장품,2660399.0,1,28.29
문정역,편의점,3992468.0,1,30.0
미아사거리역,공실,0.0,3,21.19666666666667
미아사거리역,기타,2105000.0,2,25.409999999999997
미아사거리역,식음료,6942287.0,3,22.953333333333333
미아사거리역,의약업,990000.0,1,18.66
미아사거리역,패션잡화,2772308.222222222,9,20.084444444444443
미아역,공실,0.0,1,50.24
미아역,패션잡화,3750000.0,1,50.24
미아역,편의점,2480675.0,1,31.6
반포역,기타,2291087.5,8,212.27499999999998
반포역,식음료,0.0,1,0.0
반포역,패션잡화,2120800.0,2,35.0
반포역,편의점,7854990.0,1,40.36
발산역,식음료,6156100.0,1,27.14
발산역,의약업,11030000.0,1,39.44
발산역,편의점,4914000.0,1,33.0
발산역,플라워,1500000.0,1,15.7
방배역,기타,740000.0,1,18.0
방배역,무인프린트,1266600.0,1,19.43
방배역,식음료,2201500.0,2,19.875
방배역,플라워,1785000.0,1,17.85
방배역,화장품,2722601.0,1,27.0
방이역,패션잡화,1030000.0,1,19.3
방이역,편의점,3978000.0,1,36.48
방화역,패션잡화,975000.0,1,19.65
방화역,편의점,2262000.0,1,30.0
방화역,플라워,2261169.0,1,40.53
보라매역,식음료,3799002.0,1,38.0
보라매역,패션잡화,2750000.0,1,32.0
보라매역,편의점,6309160.0,1,27.58
보라매역,화장품,1857653.0,1,39.0
보문역,식음료,1700000.0,1,14.1
보문역,패션잡화,1500000.0,1,24.0
보문역,편의점,5162483.0,1,35.0
보문역,화장품,979861.0,1,36.0
복정역,편의점,6487761.0,1,50.0
봉천역,밀키트,3034000.0,1,27.81
봉천역,패션잡화,1877048.0,1,17.61
봉화산역,공실,0.0,2,60.0
봉화산역,기타,1130000.0,1,27.0
봉화산역,편의점,5003894.0,1,47.0
불광역,공실,0.0,2,30.015
불광역,기타,764600.0,3,31.69333333333333
불광역,무인프린트,500000.0,1,12.99
불광역,식음료,1471450.0,2,29.509999999999998
불광역,패션잡화,1410000.0,2,29.0
불광역,편의점,898305.0,1,30.0
불광역,화장품,1135946.0,1,18.81
사가정역,공실,0.0,3,72.0
사가정역,기타,1259500.0,1,26.03
사가정역,사무실,245100.0,1,21.9
사가정역,식음료,9090023.0,1,93.0
사가정역,패션잡화,2342725.0,4,52.2825
사가정역,편의점,11204050.0,1,32.21
사당역,공실,0.0,5,51.410000000000004
사당역,기타,18522225.0,4,258.4825
사당역,식음료,9853747.666666666,9,39.599999999999994
사당역,의약업,6630500.0,2,26.35
사당역,패션잡화,9230020.07142857,14,68.33928571428571
사당역,플라워,4060000.0,2,14.17
사당역,화장품,14913985.5,2,45.76
산성역,편의점,4358445.0,1,30.0
삼각지역,사무실,1882000.0,1,258.2
삼각지역,식음료,1600000.0,1,46.0
삼각지역,패션잡화,1700000.0,1,40.0
삼각지역,편의점,4937353.0,1,31.8
상계역,공실,0.0,2,38.555
상계역,기타,4491016.5,2,60.75
상계역,무인프린트,1274616.0,1,25.99
상계역,패션잡화,2297637.2,5,32.501999999999995
상도역,식음료,3015091.0,1,26.0
상도역,패션잡화,2266228.0,1,50.0
상도역,편의점,21907600.0,1,112.57
상도역,화장품,2814300.0,1,59.2
상봉역,공실,0.0,1,78.0
상봉역,패션잡화,2740316.75,4,52.0225
상봉역,편의점,13788060.0,1,45.48
상봉역,플라워,3055501.0,1,74.0
상수역,기타,2450000.0,1,38.0
상수역,무인프린트,2218776.0,1,33.0
상수역,밀키트,919947.0,1,29.0
상수역,편의점,7569055.0,1,35.0
상수역,플라워,2900000.0,1,41.0
상수역,화장품,2599000.0,1,33.0
상왕십리역,편의점,5610000.0,1,37.0
상왕십리역,플라워,2516600.0,1,30.0
상왕십리역,화장품,2666031.0,1,30.6
상월곡역,편의점,3108802.0,1,38.4
상일동역,공실,0.0,1,17.92
상일동역,편의점,3588000.0,1,31.46
새절역,공실,0.0,1,43.6
새절역,패션잡화,3692300.0,2,28.07
새절역,편의점,6460036.0,1,25.0
서대문역,공실,0.0,1,10.5
서대문역,기타,551000.0,1,9.05
서대문역,무인프린트,412500.0,2,9.375
서대문역,식음료,3011000.0,1,11.88
서대문역,패션잡화,2037500.0,2,34.370000000000005
서대문역,편의점,3826900.0,2,19.69
서대문역,플라워,874600.0,1,14.74
서울대입구역,식음료,6905270.5,2,21.630000000000003
서울대입구역,화장품,5906786.0,1,26.64
서울역,패션잡화,3225582.0,1,12.0
서초역,식음료,2540682.6666666665,3,18.133333333333336
서초역,의약업,3874200.0,1,28.7
서초역,패션잡화,2659726.0,2,24.01
서초역,편의점,9932040.0,1,32.02
서초역,플라워,2466600.0,1,21.82
석계역,공실,0.0,4,60.0
석계역,기타,2554067.0,1,33.0
석계역,식음료,6595610.0,1,25.7
석계역,패션잡화,1262750.0,2,42.25
석계역,편의점,11771128.0,1,58.0
석촌역,기타,2500000.0,1,30.0
석촌역,편의점,7290691.0,1,38.0
선릉역,식음료,5735082.0,7,16.955714285714286
선릉역,의약업,4166600.0,1,19.48
선릉역,패션잡화,6470749.8,5,23.78
선릉역,플라워,6424161.0,1,18.3
선릉역,화장품,11892315.0,1,38.03
성수역,공실,0.0,1,23.5
성수역,식음료,3067566.6666666665,3,25.62
성수역,패션잡화,2511000.0,1,27.0
성수역,플라워,3320000.0,1,16.28
성수역,화장품,4012522.0,1,28.4
성신여대입구역,식음료,3181500.0,1,16.0
성신여대입구역,패션잡화,2285350.0,4,22.44
성신여대입구역,플라워,4686896.0,1,30.8
송정역,공실,0.0,2,46.585
송정역,식음료,2414160.0,1,21.87
송정역,패션잡화,1536550.0,2,25.935000000000002
송정역,편의점,2340000.0,1,42.37
송파역,식음료,1510000.0,1,17.87
송파역,편의점,3999566.0,1,32.2
수락산역,공실,0.0,5,43.702
수락산역,기타,1767700.0,1,58.0
수락산역,패션잡화,1670000.0,1,56.48
수락산역,편의점,8858850.0,1,37.88
수서역,기타,3030800.0,1,28.28
수서역,식음료,6390663.5,2,33.22
수서역,의약업,2649500.0,1,21.0
수서역,패션잡화,5168156.75,4,21.3
수유역,식음료,9842289.5,2,17.21
수유역,패션잡화,3777883.3333333335,3,16.833333333333332
