month,역명,평균면적당 임대료_공유오피스,평균면적당 임대료_기타,평균면적당 임대료_무인프린트,평균면적당 임대료_밀키트,평균면적당 임대료_사무실,평균면적당 임대료_식음료,평균면적당 임대료_의약업,평균면적당 임대료_패션잡화,평균면적당 임대료_편의점,평균면적당 임대료_플라워,평균면적당 임대료_화상면접,평균면적당 임대료_화장품,공실수,점포수_공유오피스,점포수_기타,점포수_무인프린트,점포수_밀키트,점포수_사무실,점포수_식음료,점포수_의약업,점포수_패션잡화,점포수_편의점,점포수_플라워,점포수_화상면접,점포수_화장품
1,신당역,0.0,77272.72727272728,25050.923076923078,0.0,0.0,88609.97547015535,0.0,58619.17820953798,136409.35,66166.66666666667,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0
1,신대방삼거리역,0.0,42100.0,42203.7037037037,42171.42857142857,0.0,0.0,0.0,53398.193933017705,252978.63662847155,0.0,0.0,41961.642857142855,2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0
1,신림역,0.0,0.0,0.0,0.0,0.0,554225.8214285715,0.0,365357.14285714284,0.0,568750.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
1,신용산역,0.0,60463.57615894039,0.0,0.0,0.0,145323.74100719424,0.0,57641.800433839475,0.0,47657.57575757576,0.0,0.0,2,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0
1,신정역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102375.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,신촌역,0.0,0.0,0.0,0.0,0.0,426970.50031139713,323014.28571428574,449734.693877551,353961.34624043223,391825.0,0.0,534323.0909090909,2,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0
1,신풍역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67333.33333333333,253583.1809872029,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,아차산역,0.0,0.0,0.0,0.0,0.0,94255.3901598245,0.0,81981.84217139985,162273.67688022286,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
1,어린이대공원역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354848.8764044944,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,여의도역,0.0,68929.93630573248,0.0,0.0,0.0,104355.7168784029,0.0,0.0,130036.88989784336,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,역촌역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82067.39682539682,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,영등포구청역,18441.10082961072,0.0,0.0,0.0,0.0,160904.09169850644,0.0,238616.91657054977,72706.0879697058,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0
1,오목교역,0.0,71006.2587098317,0.0,0.0,0.0,0.0,0.0,0.0,128177.43047575271,0.0,0.0,0.0,1,0.0,23.0,0.0,0.0,0.0,11.0,0.0,9.0,1.0,1.0,0.0,0.0
1,왕십리역,12529.485294117647,125733.83233532935,0.0,0.0,11356.0,102948.85532216191,0.0,65088.043075887595,70200.0,54976.40776699029,0.0,78064.28009441384,3,1.0,1.0,0.0,0.0,1.0,4.0,0.0,7.0,1.0,1.0,0.0,1.0
1,용마산역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176068.75,0.0,0.0,23816.054545454546,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,월곡역,0.0,0.0,0.0,0.0,0.0,29270.332427346853,0.0,96000.0,234003.0,0.0,0.0,22681.96551724138,1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
1,을지로3가역,0.0,52692.874692874684,0.0,0.0,0.0,75515.05546751189,0.0,94912.94752329573,0.0,55352.0,0.0,0.0,1,0.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0
1,을지로4가역,0.0,45177.53047164812,0.0,0.0,11432.580328328888,51237.40112994351,0.0,35982.751185855974,214065.18010291597,0.0,0.0,0.0,1,0.0,2.0,0.0,0.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0
1,을지로입구역,0.0,340426.56012176565,0.0,0.0,0.0,258408.63960867265,349431.8181818182,187603.25586376782,871686.046511628,100782.42105263157,0.0,0.0,2,0.0,6.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0
1,이수역,0.0,17824.83108108108,0.0,0.0,13541.666666666666,166501.68993387217,0.0,95405.77659283567,271554.486586494,82922.26666666666,0.0,0.0,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0
1,일원역,0.0,0.0,0.0,0.0,9042.553191489362,0.0,62627.13371266003,0.0,191304.34782608695,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
1,잠실새내역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175411.52263374484,194349.49290060854,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,장지역,0.0,0.0,0.0,0.0,0.0,128755.79598145286,0.0,0.0,235112.01704545453,194552.52918287937,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,종각역,0.0,0.0,0.0,0.0,0.0,321451.509312781,253582.0391627279,99827.13915298185,223867.57679180888,199784.07557354926,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0
1,종로3가역,0.0,231868.13186813187,0.0,0.0,0.0,292652.29537366546,67228.15116709893,175502.5,222252.37449118047,125263.49030470914,0.0,0.0,3,0.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0
1,종합운동장역,0.0,74217.53097751262,0.0,0.0,0.0,122896.8,0.0,0.0,96838.67832847424,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
1,중화역,0.0,35601.270191909425,47508.0,0.0,0.0,40698.23434991974,0.0,45536.532433084154,258314.81481481483,0.0,0.0,0.0,3,0.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0
1,증산역,0.0,47789.18918918919,0.0,0.0,0.0,0.0,0.0,101741.93548387097,206277.5357142857,0.0,0.0,48766.24137931035,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1,창동역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160230.21582733814,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1,청담역,0.0,36977.27272727272,0.0,0.0,0.0,52280.29375764994,0.0,29660.173864534423,317911.348872755,50723.97142857143,0.0,54135.82653061225,7,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0
1,총신대입구역,0.0,79069.52965235173,56233.128834355826,0.0,11411.042944785275,181954.9453376206,0.0,93770.8042808497,0.0,0.0,0.0,217535.19553072625,3,0.0,3.0,1.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0
1,충무로역,0.0,0.0,0.0,0.0,12881.35593220339,170303.95238095237,0.0,0.0,182795.69892473117,107025.4506892895,0.0,219462.30183893468,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
1,충정로역,0.0,0.0,15511.892450879006,0.0,13095.238095238095,234133.33333333334,0.0,17435.217302591307,85800.0,0.0,0.0,217989.854517611,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0
1,태릉입구역,0.0,44948.48484848485,23162.41935483871,0.0,0.0,42000.0,0.0,68114.28571428571,258585.89122240173,23245.846153846152,0.0,20413.78,3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,1.0
1,학동역,0.0,0.0,0.0,0.0,0.0,119441.15029982591,56812.244897959186,70278.01767535518,279604.32822362485,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0
1,한강진역,0.0,0.0,0.0,0.0,0.0,34408.06451612903,0.0,0.0,150826.575,0.0,0.0,23816.0625,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,합정역,0.0,127941.3234944061,132978.72340425532,0.0,0.0,333485.18877057114,96034.23105965265,176596.19119687224,296597.4111980735,118077.8217109993,0.0,223723.80709364635,1,0.0,1.0,1.0,0.0,0.0,6.0,4.0,10.0,2.0,3.0,0.0,2.0
1,행당역,0.0,0.0,0.0,0.0,0.0,47028.6447199658,0.0,0.0,98769.8986975398,40800.90791180285,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,홍제역,0.0,34393.04219096965,0.0,0.0,0.0,155953.60824742267,0.0,67857.14285714286,0.0,0.0,0.0,0.0,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,회현역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182862.74509803922,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1,효창공원앞역,0.0,0.0,0.0,0.0,0.0,83332.25806451614,0.0,0.0,150826.58139534883,0.0,0.0,31754.74193548387,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2,가락시장역,0.0,51008.06451612903,0.0,0.0,0.0,74238.10567857926,0.0,78600.4601226994,158589.72727272726,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2,강남구청역,0.0,35320.97457627119,0.0,0.0,0.0,0.0,20945.194598888007,65105.61538461538,252984.4827586207,41610.05454545454,0.0,0.0,2,0.0,8.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0
2,강동구청역,0.0,0.0,0.0,0.0,0.0,53544.65624330692,0.0,49594.155844155845,211822.63333333333,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2,건대입구역,0.0,21885.805172652254,0.0,0.0,0.0,168720.42123775228,276490.06622516556,169864.40677966102,285556.91171297926,141701.0661866519,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,3.0,0.0,0.0
2,공덕역,19360.458353868897,35757.63030848539,40441.17647058824,0.0,0.0,133760.25688073394,0.0,80841.76661492874,229253.27052489907,50884.5180584311,0.0,292916.6666666667,3,6.0,10.0,1.0,0.0,0.0,5.0,0.0,11.0,2.0,4.0,0.0,1.0
2,광화문역,0.0,10041.224970553592,0.0,0.0,0.0,0.0,0.0,131999.9,170973.2142857143,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,광흥창역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99811.7,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,교대역,0.0,19931.73888860798,0.0,0.0,6500.901829425406,186244.20062695927,0.0,76689.3191623698,47540.22988505747,54637.342908438055,0.0,0.0,1,0.0,3.0,0.0,0.0,5.0,4.0,0.0,3.0,1.0,2.0,0.0,0.0
2,구산역,0.0,0.0,0.0,27230.666666666668,0.0,0.0,0.0,0.0,157480.69277108432,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,군자역,0.0,0.0,0.0,0.0,0.0,161602.82732447816,0.0,75587.26737953216,271626.9609631521,147611.06451612903,0.0,80591.00067159167,3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,0.0,1.0
2,굽은다리역,0.0,13549.448275862069,0.0,0.0,0.0,50268.25442927679,0.0,73093.2326459483,120250.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
2,남구로역,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,53125.0,250324.32432432432,0.0,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
