역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
뚝섬,하차,우대권,1430,6042,3951,5211,4612,5075,4673,4110,3999,4600,4935,4804,4672,3612,2165,1500,1198,690,361,121,67761
뚝섬,하차,일반,1055,13649,36056,133438,91217,43559,34835,35985,37364,33461,33000,35672,40559,46992,27237,14640,12476,11518,7714,2682,693109
뚝섬,하차,중고생,0,0,0,0,2,5,3,5,7,4,10,1,4,5,5,0,2,4,0,0,57
뚝섬,하차,청소년,0,58,762,437,623,1216,1955,2474,2457,2420,2273,2206,1867,1282,888,572,508,541,135,16,22690
마곡,승차,어린이,3,17,85,112,102,169,119,203,247,336,353,353,334,300,201,114,74,13,0,1,3136
마곡,승차,외국인,0,2,0,1,7,12,10,6,6,4,13,18,8,3,2,2,1,2,0,0,97
마곡,승차,우대권,1055,1416,2351,3457,3831,3975,3691,3611,4060,4185,5242,4315,2931,2341,1676,1378,948,509,124,32,51128
마곡,승차,일반,1535,6221,19747,20846,10190,7812,8535,9807,10698,11717,14418,20563,32347,41084,17832,13981,12581,9198,3854,592,273558
마곡,승차,중고생,0,0,0,0,0,1,1,1,0,1,0,2,5,1,0,0,0,0,0,0,12
마곡,승차,청소년,9,94,845,849,607,427,569,802,614,687,955,985,1009,716,560,439,408,465,125,14,11179
마곡,하차,어린이,1,2,3,58,36,57,90,109,197,210,381,378,468,411,293,143,111,83,35,3,3069
마곡,하차,외국인,0,1,0,0,2,5,1,8,5,7,4,0,6,7,2,1,1,4,9,2,65
마곡,하차,우대권,816,2511,2863,3069,2781,2973,3366,3655,3364,3176,3694,4276,4018,3367,2153,1534,1300,729,353,151,50149
마곡,하차,일반,1615,7502,17061,51040,29537,12125,9477,10009,10924,10000,9991,12831,17772,26512,18153,9553,9173,8277,5180,2188,278920
마곡,하차,중고생,0,0,0,0,1,0,1,1,1,1,0,1,2,1,0,4,0,0,0,0,13
마곡,하차,청소년,2,30,78,474,502,300,560,792,663,564,785,1188,1172,963,830,649,762,935,252,50,11551
마들,승차,어린이,0,10,19,93,130,145,114,155,160,195,273,221,191,159,97,43,30,6,1,0,2042
마들,승차,외국인,0,0,0,0,2,0,0,1,1,0,3,1,4,1,1,0,0,0,0,0,14
마들,승차,우대권,3676,4488,6794,8542,9651,9912,9548,9860,8510,7716,8069,5922,4127,2735,1719,1094,673,416,155,18,103625
마들,승차,일반,7286,21005,55623,51817,22934,14432,12936,13411,12183,10444,10448,11934,11131,10216,6175,4407,3295,2625,1252,190,283744
마들,승차,중고생,0,11,3,0,0,1,0,1,2,0,1,1,0,1,1,0,0,1,0,0,23
마들,승차,청소년,33,165,907,1369,1076,604,597,663,714,751,989,879,667,535,445,337,301,230,75,13,11350
마들,하차,어린이,0,2,11,80,22,32,40,62,89,157,167,177,255,204,131,111,103,74,30,0,1747
마들,하차,외국인,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,3,0,0,0,0,10
마들,하차,우대권,1028,1360,2590,3514,4756,5770,6428,7081,7552,8629,10031,10539,9060,7527,5600,4021,3146,2101,984,255,101972
마들,하차,일반,291,1711,4026,8570,5901,4919,5427,7313,8502,9308,11851,16061,22380,40089,38923,22802,19972,18992,12671,4479,264188
마들,하차,중고생,0,0,1,1,1,0,1,1,1,1,4,5,2,1,5,3,2,1,1,1,32
마들,하차,청소년,2,41,1143,511,213,323,476,489,476,459,708,824,707,631,600,486,581,754,338,76,9838
마장,승차,어린이,0,1,1,42,40,28,48,46,90,112,92,103,76,44,23,43,15,10,3,0,817
마장,승차,외국인,0,0,0,0,2,1,0,15,28,47,42,33,18,17,42,71,63,27,0,0,406
마장,승차,우대권,999,1459,2059,2316,2955,3685,4116,4684,3746,3953,4033,3719,2809,2103,1559,997,889,440,85,24,46630
마장,승차,일반,1447,4411,12994,17049,8439,5364,5021,5935,5925,6223,7044,8217,9384,10224,6206,5344,5161,3826,1586,246,130046
마장,승차,중고생,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
마장,승차,청소년,15,50,624,386,374,232,212,219,318,261,324,522,299,192,87,98,88,66,30,2,4399
마장,하차,어린이,0,0,0,32,16,25,39,36,35,53,43,91,86,86,64,69,37,19,1,0,732
마장,하차,외국인,0,1,0,0,2,0,58,29,46,11,26,21,67,100,53,17,5,0,1,1,438
마장,하차,우대권,248,1266,1453,2669,2898,3615,4439,4226,3369,3347,3676,3859,3397,2564,1658,1199,1011,617,274,70,45855
마장,하차,일반,260,2916,4897,11945,5902,4351,4023,4922,5110,4274,4935,6770,10583,16338,9684,6880,6568,6514,4082,1441,122395
마장,하차,중고생,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
마장,하차,청소년,0,13,207,472,197,130,153,220,240,199,244,296,238,221,254,253,275,333,122,19,4086
마천,승차,어린이,0,7,39,70,52,50,68,92,111,100,83,117,87,57,19,9,9,7,2,0,979
마천,승차,외국인,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5
마천,승차,우대권,3250,3285,4514,5711,5812,5364,4718,4945,4344,4019,3808,3811,2581,1795,995,745,503,357,78,18,60653
마천,승차,일반,3869,10183,34366,25127,11500,6587,5795,6210,5444,5005,4895,5678,6163,8119,3206,2575,1877,1380,671,115,148765
마천,승차,중고생,0,0,5,1,0,1,2,1,3,0,1,1,1,0,0,0,0,0,0,0,16
마천,승차,청소년,38,243,2564,1838,475,307,292,368,356,419,270,384,426,291,192,101,88,44,13,5,8714
마천,하차,어린이,0,0,1,20,16,23,27,29,45,52,94,113,148,88,89,68,64,37,21,1,936
마천,하차,외국인,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6
마천,하차,우대권,142,1455,1716,2481,2858,3594,3293,3653,4271,3810,6226,6261,6041,5439,3746,2539,2180,1441,713,159,62018
마천,하차,일반,130,1228,2481,8529,3499,2950,2492,3020,3959,3574,5523,7017,10809,18726,17075,9063,9746,9600,6111,2681,128213
마천,하차,중고생,0,0,0,1,4,2,4,2,6,1,3,4,0,0,1,1,5,6,0,0,40
마천,하차,청소년,2,10,14,46,310,331,344,393,547,518,1296,1036,608,555,508,515,557,821,240,63,8714
마포,승차,어린이,2,15,9,74,73,124,144,140,167,164,168,156,150,145,97,78,43,14,2,0,1765
마포,승차,외국인,2,7,12,29,122,167,270,167,163,63,75,80,99,89,54,65,25,25,8,2,1524
마포,승차,우대권,843,2043,2463,3247,4358,5343,5262,5477,5728,6444,7134,5772,5163,3902,3168,3031,2246,1245,330,66,73265
마포,승차,일반,1602,6077,23641,32897,16421,12604,12843,14244,15427,15320,16297,23373,37039,55734,22160,20872,23083,17004,7618,919,375175
마포,승차,중고생,0,0,0,0,1,0,1,1,1,0,2,0,0,0,1,0,1,1,0,0,9
마포,승차,청소년,5,133,741,419,341,192,179,296,370,327,347,453,508,492,393,324,304,272,82,3,6181
마포,하차,어린이,8,0,0,28,35,42,53,76,69,87,127,155,183,191,169,150,123,66,29,10,1601
마포,하차,외국인,0,0,0,5,10,7,14,35,45,55,81,72,115,130,146,136,122,154,82,18,1227
마포,하차,우대권,949,3086,2720,4462,4660,4544,6301,5515,4675,4625,5526,6539,6597,4537,2584,2120,1452,1000,584,119,72595
마포,하차,일반,868,7558,17910,65854,32062,14069,13893,12024,13211,11847,13139,18028,32062,46724,24458,15120,14111,12382,7727,2364,375411
