역명,month,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,meanshift_label
신용산역,2,2249,8553,2815,0
신정역,2,2303,5620,2000,0
신정역,2,1260,4204,4122,0
신촌역,2,2446,19389,15672,1
신촌역,2,8328,20552,7368,26
신풍역,2,1617,3544,1251,0
신풍역,2,581,2926,2411,0
아차산역,2,2772,13194,4270,0
아차산역,2,4752,8762,4446,0
어린이대공원역,2,834,7166,3999,0
어린이대공원역,2,2569,7711,1979,0
여의도역,2,964,8025,4605,0
여의도역,2,2369,8047,2500,0
역촌역,2,543,1481,442,0
역촌역,2,235,1104,1155,0
영등포구청역,2,1820,5314,2847,0
영등포구청역,2,1305,5628,3527,0
오목교역,2,3484,16454,13338,1
오목교역,2,6293,19927,8725,0
왕십리역,2,2024,9466,6050,0
왕십리역,2,2777,11119,6132,0
용마산역,2,1272,2674,858,0
용마산역,2,457,2247,2050,0
월곡역,2,2059,4907,1552,0
월곡역,2,880,3657,3657,0
을지로3가역,2,1710,8714,5027,0
을지로3가역,2,1896,8141,3946,0
을지로4가역,2,1002,4291,1799,0
을지로4가역,2,852,4446,2160,0
을지로입구역,2,2270,14607,7314,0
을지로입구역,2,2780,12652,7333,0
이수역,2,1334,5379,3363,0
이수역,2,1356,5819,3160,0
일원역,2,3861,9128,1847,0
일원역,2,2351,5537,6268,0
잠실새내역,2,6815,15957,8595,0
잠실새내역,2,3157,17040,11441,0
장지역,2,2453,8628,4064,0
장지역,2,1512,7431,4564,0
종각역,2,731,11157,8354,0
종각역,2,3134,12484,2511,0
종로3가역,2,1335,13383,7713,0
종로3가역,2,3331,15172,3427,0
종합운동장역,2,1749,5764,3520,0
종합운동장역,2,3406,5350,3355,0
중화역,2,1733,4558,1456,0
중화역,2,775,3219,3506,0
증산역,2,1788,4225,1386,0
증산역,2,453,3703,3495,0
창동역,2,4764,13787,5828,0
창동역,2,2197,11690,9831,0
청담역,2,888,4458,3659,0
청담역,2,2511,5953,1682,0
총신대입구역,2,2057,7039,3667,0
총신대입구역,2,1618,7124,4663,0
충무로역,2,1662,7115,4717,0
충무로역,2,2497,7860,3577,0
충정로역,2,1094,3935,1235,0
충정로역,2,1067,2824,2642,0
태릉입구역,2,1979,6314,2487,0
태릉입구역,2,1522,5096,4356,0
학동역,2,672,3863,3408,0
학동역,2,1941,4573,1340,0
한양대역,2,526,4331,1434,0
한양대역,2,2073,4126,1114,0
행당역,2,1999,4529,1441,0
행당역,2,562,3936,2783,0
홍제역,2,3572,7946,2318,0
홍제역,2,962,6444,5894,0
회현역,2,533,6657,2175,0
회현역,2,1650,7338,1005,0
효창공원앞역,2,842,2767,957,0
효창공원앞역,2,646,2099,1569,0
가락시장역,3,3186,5239,2162,0
가락시장역,3,2585,4616,4891,0
강남구청역,3,962,4270,3423,0
강남구청역,3,2531,4495,2052,0
강동구청역,3,3154,4755,1547,0
강동구청역,3,1338,4260,3926,0
강동역,3,4175,4425,2251,0
강동역,3,1400,5665,4646,0
건대입구역,3,7604,25142,32501,2
건대입구역,3,8363,36963,24463,12
공덕역,3,4238,13426,5433,0
공덕역,3,8546,8291,6066,0
광흥창역,3,3417,5084,1861,0
광흥창역,3,2262,4416,3901,0
교대역,3,5066,14260,13722,1
교대역,3,9390,14290,10011,26
구산역,3,2673,8491,5420,0
구산역,3,4673,5169,3025,0
군자역,3,5945,6740,4462,0
군자역,3,1653,8756,6490,0
굽은다리역,3,2998,4475,3312,0
굽은다리역,3,1079,5795,4359,0
남구로역,3,3219,2534,1285,0
남구로역,3,828,3447,2440,0
노원역,3,14989,38568,38604,27
노원역,3,18851,53840,28721,22
논현역,3,923,2744,4941,0
논현역,3,1407,5279,2897,0
단대오거리역,3,5989,8290,3212,0
단대오거리역,3,2020,6874,5891,0
당산역,3,3893,7206,2793,0
당산역,3,4248,6358,5858,0
대림역,3,7126,7701,3816,0
대림역,3,2168,9427,7270,0
대청역,3,4351,12984,3371,0
대청역,3,6122,5622,7337,0
대흥역,3,1902,11070,7346,0
대흥역,3,8383,8258,3461,0
독바위역,3,1748,1775,614,0
독바위역,3,244,1499,1640,0
동대문역,3,3025,11950,5283,0
동대문역,3,3033,14442,3518,0
동대입구역,3,1208,7011,3038,0
동대입구역,3,5360,6692,1595,0
