역명,month,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,dbscan_label
광흥창역,3,72449,71910,64745,0
광흥창역,3,66755,56341,74841,0
교대역,3,156698,432358,505570,0
교대역,3,501189,343687,237186,0
구산역,3,100448,51261,22268,0
구산역,3,14456,36075,66076,0
군자역,3,275359,208587,181997,0
군자역,3,121871,193601,296926,0
굽은다리역,3,101239,65111,39861,0
굽은다리역,3,29793,65104,106046,0
남구로역,3,115515,111200,129138,0
남구로역,3,175073,99361,99324,0
노원역,3,406153,441181,372687,0
노원역,3,297353,491816,553251,0
논현역,3,44872,158231,259563,0
논현역,3,262048,137611,84342,0
단대오거리역,3,144093,84691,45268,0
단대오거리역,3,45334,71551,142328,0
당산역,3,166864,153808,135653,0
당산역,3,145364,155160,228613,0
대림역,3,356199,297754,171011,0
대림역,3,177400,327827,334854,0
대청역,3,98822,81531,51538,0
대청역,3,55897,60855,100244,0
대흥역,3,57363,87108,75524,0
대흥역,3,81219,78356,73508,0
독바위역,3,36637,15463,5912,0
독바위역,3,7007,15232,36333,0
동대문역,3,101239,344955,228360,0
동대문역,3,241362,297613,161950,0
동대입구역,3,29334,134692,128530,0
동대입구역,3,147628,127313,52688,0
동묘앞역,3,87242,177244,87511,0
동묘앞역,3,92837,165586,110259,0
디지털미디어시티역,3,156698,105225,96292,0
디지털미디어시티역,3,137430,91312,153977,0
마들역,3,173829,76504,27149,0
마들역,3,25592,73450,155714,0
마포구청역,3,145440,110798,88509,0
마포구청역,3,72044,93546,140610,0
면목역,3,189958,110444,52076,0
면목역,3,55463,102508,175300,0
미아사거리역,3,274152,189077,118470,0
미아사거리역,3,87593,192846,289700,0
미아역,3,147583,120338,64754,0
미아역,3,71115,102034,142812,0
봉화산역,3,123156,54548,24813,0
봉화산역,3,27230,54946,106761,0
불광역,3,204223,148613,90371,0
불광역,3,90138,152597,223521,0
사가정역,3,188499,114292,66687,0
사가정역,3,57573,117637,191814,0
사당역,3,570878,536663,568819,0
사당역,3,323112,598597,790994,0
상계역,3,238769,122562,60206,0
상계역,3,46722,116562,219248,0
상봉역,3,200321,135608,98485,0
상봉역,3,65950,133692,218839,0
상수역,3,46153,105389,142863,0
상수역,3,87805,137432,109509,0
서대문역,3,72303,189355,215629,0
서대문역,3,304228,108046,72894,0
서초역,3,92325,227971,212888,0
서초역,3,285146,145586,81351,0
석계역,3,147425,86899,48126,0
석계역,3,39236,91760,164768,0
성수역,3,90450,415794,624587,0
성수역,3,556487,504272,188282,0
송정역,3,59690,44568,29861,0
송정역,3,24919,39334,62817,0
수락산역,3,137204,84493,40896,0
수락산역,3,39916,73919,137872,0
숙대입구역,3,78284,164052,158404,0
숙대입구역,3,131951,138491,118645,0
숭실대입구역,3,130876,164545,97354,0
숭실대입구역,3,106824,132772,151923,0
신금호역,3,69821,45921,27174,0
신금호역,3,26558,48078,73618,0
신당역,3,166495,194829,201916,0
신당역,3,147017,199499,241575,0
신대방삼거리역,3,189498,98188,54448,0
신대방삼거리역,3,40742,96647,183280,0
신림역,3,725229,429002,256697,0
신림역,3,133810,411399,805419,0
신용산역,3,56788,195563,258806,0
신용산역,3,237354,200926,114217,0
신정역,3,198388,82711,34759,0
신정역,3,28950,73895,151326,0
신촌역,3,170649,432490,459269,0
신촌역,3,284029,439271,360746,0
신풍역,3,134229,74990,41632,0
신풍역,3,45364,71842,113226,0
아차산역,3,143862,115929,70133,0
아차산역,3,59845,113965,149457,0
압구정역,3,72875,314755,370432,0
압구정역,3,389911,307695,128277,0
어린이대공원역,3,96363,217612,157380,0
어린이대공원역,3,185870,179102,121605,0
여의도역,3,47203,307545,387269,0
여의도역,3,487151,221852,86327,0
역촌역,3,43799,21662,11192,0
역촌역,3,14296,27511,54909,0
영등포구청역,3,167785,221687,252518,0
영등포구청역,3,273474,182800,204513,0
오목교역,3,161307,181270,174196,0
오목교역,3,153911,198036,196115,0
왕십리역,3,141459,187749,205438,0
왕십리역,3,109104,191461,215428,0
용마산역,3,77978,38508,18537,0
용마산역,3,20420,39079,70162,0
월곡역,3,124050,108440,65561,0
월곡역,3,64415,89459,132929,0
을지로3가역,3,85778,341052,495620,0
을지로3가역,3,492522,258882,172109,0
을지로4가역,3,54838,208861,196827,0
을지로4가역,3,236443,149060,81762,0
을지로입구역,3,91026,487861,696178,0
을지로입구역,3,713280,394707,199685,0
이수역,3,115718,137299,147988,0
이수역,3,99255,138920,148699,0
일원역,3,75000,109644,38718,0
일원역,3,80503,65625,68239,0
잠실새내역,3,223872,188667,160872,0
잠실새내역,3,87323,223229,258530,0
장지역,3,152134,138481,110523,0
장지역,3,113863,120143,133537,0
종각역,3,45876,355109,543221,0
종각역,3,566304,259461,102652,0
종로3가역,3,75110,437376,586260,0
종로3가역,3,391835,483194,223485,0
종합운동장역,3,73600,115060,96017,0
종합운동장역,3,66688,150666,96388,0
중계역,3,180519,97286,45072,0
중계역,3,49621,82709,160734,0
중화역,3,123004,74298,43300,0
중화역,3,42787,69797,121679,0
증산역,3,122172,65959,31192,0
증산역,3,25207,65523,126589,0
창동역,3,254673,181849,112534,0
창동역,3,95019,196918,289048,0
청담역,3,44751,179024,229290,0
청담역,3,325640,119848,60153,0
총신대입구역,3,157171,133650,118548,0
총신대입구역,3,92417,158245,198094,0
충무로역,3,87048,309405,395699,0
충무로역,3,388390,261244,157755,0
충정로역,3,83665,134079,136247,0
충정로역,3,180198,94664,96865,0
태릉입구역,3,143230,136944,85700,0
태릉입구역,3,76127,122837,171864,0
학동역,3,39213,214970,330147,0
학동역,3,418076,145260,56869,0
한양대역,3,29778,203123,121746,0
한양대역,3,202519,144554,54860,0
합정역,3,237203,434395,621133,0
합정역,3,357538,550929,453486,0
행당역,3,102395,50952,24999,0
행당역,3,19438,50273,87314,0
홍제역,3,197925,132275,64398,0
홍제역,3,59809,116615,189910,0
회현역,3,35149,287401,259206,0
회현역,3,340708,230655,49564,0
효창공원앞역,3,65666,65147,51467,0
효창공원앞역,3,56229,51844,61226,0
강남구청역,4,32460,140297,226062,0
강남구청역,4,276012,115098,55252,0
강남역,4,209918,811341,1075182,0
강남역,4,959453,659350,441719,0
강동구청역,4,107023,69428,50895,0
강동구청역,4,61850,67928,103873,0
강동역,4,185869,136315,90195,0
강동역,4,103090,111809,180136,0
건대입구역,4,325321,478530,543807,0
건대입구역,4,288927,533318,580100,0
공덕역,4,180090,302576,349374,0
공덕역,4,367095,230388,243981,0
광명사거리역,4,234781,126828,73498,0
광명사거리역,4,71282,139414,210115,0
광흥창역,4,73809,72682,65966,0
광흥창역,4,68978,57261,72807,0
교대역,4,159245,441093,505753,0
교대역,4,519007,340191,236784,0
군자역,4,279037,199328,179562,0
군자역,4,123295,185403,292603,0
굽은다리역,4,103436,59984,35290,0
굽은다리역,4,29145,58146,102552,0
낙성대역,4,334167,221136,143825,0
낙성대역,4,115427,193707,367534,0
남구로역,4,117195,109690,131083,0
남구로역,4,179296,96332,98763,0
노원역,4,413402,428836,360233,0
노원역,4,302216,474055,552783,0
논현역,4,44905,160084,266810,0
논현역,4,273293,133473,84655,0
단대오거리역,4,148881,82161,46053,0
단대오거리역,4,45682,70597,144220,0
당산역,4,169586,153629,144533,0
당산역,4,151809,158121,233547,0
대림역,4,365483,280128,168599,0
대림역,4,173354,313648,338465,0
대청역,4,101791,80164,53224,0
대청역,4,57543,61059,100572,0
대흥역,4,58749,89051,76242,0
대흥역,4,83956,80431,71956,0
독바위역,4,37465,15235,6039,0
독바위역,4,6614,15362,36015,0
동대문역,4,102486,333553,217759,0
동대문역,4,244671,272475,152051,0
동대입구역,4,29045,142194,138669,0
동대입구역,4,157802,136892,55364,0
동묘앞역,4,87871,163763,86307,0
동묘앞역,4,92750,150149,109626,0
마들역,4,179510,72564,26928,0
마들역,4,24326,72701,157046,0
마포구청역,4,149643,112140,86200,0
마포구청역,4,75118,92663,137762,0
면목역,4,192707,109201,52323,0
면목역,4,56478,101516,175186,0
미아사거리역,4,276252,182031,115405,0
미아사거리역,4,87308,184476,290518,0
미아역,4,147984,114576,63977,0
미아역,4,70218,96473,142585,0
봉화산역,4,126987,53159,24116,0
봉화산역,4,27054,54516,106565,0
불광역,4,209355,141972,87833,0
불광역,4,88176,147045,225951,0
사가정역,4,190990,109592,65428,0
사가정역,4,57929,115293,192986,0
사당역,4,584060,524054,556203,0
사당역,4,330784,573393,795451,0
상계역,4,245001,122613,60810,0
상계역,4,49341,120379,218108,0
상봉역,4,206186,131514,94904,0
상봉역,4,66913,126644,221935,0
상수역,4,46408,101292,134397,0
상수역,4,87804,127738,104456,0
서대문역,4,73241,189925,218422,0
서대문역,4,312728,105422,73499,0
서초역,4,99177,226206,213442,0
서초역,4,291895,141398,79981,0
석계역,4,151100,83873,46398,0
석계역,4,39704,90253,163597,0
선릉역,4,124243,523186,665980,0
선릉역,4,688918,299802,167034,0
성수역,4,90333,417883,629165,0
성수역,4,573254,501443,188094,0
송정역,4,60696,44283,29759,0
송정역,4,25764,37909,62180,0
수락산역,4,140352,79888,39480,0
수락산역,4,38054,72711,138222,0
숙대입구역,4,79103,160078,150036,0
숙대입구역,4,132662,130159,115704,0
숭실대입구역,4,132432,155575,98377,0
숭실대입구역,4,102598,130995,150371,0
신금호역,4,71836,44600,26773,0
신금호역,4,27061,47552,73364,0
신당역,4,170240,189460,201551,0
신당역,4,148963,194256,243239,0
신대방삼거리역,4,191417,93174,53989,0
신대방삼거리역,4,40131,93739,182592,0
신대방역,4,357090,178419,88494,0
신대방역,4,62927,177170,359210,0
신사역,4,63009,278938,387313,0
신사역,4,344519,276839,147631,0
신용산역,4,56776,189406,250512,0
신용산역,4,234594,185024,114101,0
신정역,4,202962,80332,34998,0
신정역,4,29941,74063,150862,0
신촌역,4,173491,416877,422142,0
신촌역,4,279036,408853,348651,0
신풍역,4,137773,72055,41505,0
신풍역,4,45341,70465,113781,0
안암역,4,43352,174668,138448,0
안암역,4,144542,127665,91105,0
암사역,4,272556,107460,49814,0
암사역,4,40573,110426,215937,0
압구정역,4,73977,303587,367916,0
압구정역,4,394092,292596,128032,0
어린이대공원역,4,97162,223035,163929,0
어린이대공원역,4,186511,196853,119788,0
여의도역,4,51325,309837,387355,0
여의도역,4,501493,221527,92294,0
역삼역,4,88310,495763,645270,0
역삼역,4,961426,301156,158136,0
역촌역,4,44086,20354,10980,0
역촌역,4,14011,26586,55026,0
연신내역,4,393965,222188,123720,0
연신내역,4,83109,209738,405094,0
영등포구청역,4,174614,218142,252184,0
영등포구청역,4,280566,176236,207484,0
오목교역,4,164962,179018,172621,0
오목교역,4,155765,195230,197463,0
왕십리역,4,143322,180520,189590,0
왕십리역,4,108203,175904,209074,0
용마산역,4,79008,37263,18961,0
용마산역,4,21186,38723,69192,0
우장산역,4,168388,94751,43271,0
우장산역,4,46361,90692,161779,0
월곡역,4,126829,102003,64226,0
월곡역,4,64110,84911,130348,0
을지로3가역,4,84793,341160,500966,0
을지로3가역,4,507476,248907,180791,0
을지로4가역,4,52099,212065,203677,0
을지로4가역,4,245047,147901,86339,0
을지로입구역,4,89512,487603,699450,0
을지로입구역,4,731409,381126,202931,0
이수역,4,119304,134531,146117,0
이수역,4,103467,131470,150636,0
일원역,4,77108,109925,38449,0
일원역,4,83986,66187,67207,0
잠실새내역,4,229756,178093,175172,0
잠실새내역,4,86650,227069,260072,0
잠실역,4,573383,957080,1079858,1
잠실역,4,726540,1106882,831461,1
장지역,4,155241,133351,111703,0
장지역,4,118432,115188,132722,0
종각역,4,44123,350881,536505,0
종각역,4,584453,239942,98119,0
종로3가역,4,77469,441949,616621,0
종로3가역,4,402566,480713,266444,0
종합운동장역,4,66198,108730,202317,0
종합운동장역,4,54057,230441,145180,0
중화역,4,124822,73098,42566,0
중화역,4,43102,68870,121697,0
증산역,4,123811,63923,31945,0
증산역,4,25490,65030,127647,0
창동역,4,259034,172884,111137,0
창동역,4,92060,193040,290612,0
청담역,4,44880,176621,231378,0
청담역,4,331864,114371,60910,0
총신대입구역,4,160392,132707,117782,0
총신대입구역,4,95304,156320,198037,0
충무로역,4,87376,319255,391777,0
충무로역,4,403645,264715,153686,0
충정로역,4,84939,133902,138873,0
충정로역,4,186425,92653,95501,0
태릉입구역,4,147248,132457,84206,0
태릉입구역,4,76817,119721,173455,0
학동역,4,39085,212050,334684,0
학동역,4,429896,136076,55791,0
한양대역,4,31195,198822,132281,0
한양대역,4,197905,148830,55378,0
합정역,4,240754,426179,612537,0
합정역,4,373360,530284,454366,0
행당역,4,104208,49046,25093,0
행당역,4,20311,49354,85954,0
홍제역,4,200374,131324,65914,0
홍제역,4,61913,116982,188969,0
회현역,4,34131,292914,264320,0
회현역,4,353944,229712,50770,0
효창공원앞역,4,67850,64198,52828,0
효창공원앞역,4,56755,51187,61041,0
강남역,5,209647,817750,1070632,0
강남역,5,941602,680981,442039,0
강동구청역,5,105460,71838,49755,0
강동구청역,5,61150,69633,102436,0
강동역,5,184041,140237,90090,0
강동역,5,102130,116725,181327,0
건대입구역,5,324836,499062,560146,0
건대입구역,5,287942,571175,591055,0
공덕역,5,176162,301236,338892,0
공덕역,5,355443,230299,241283,0
광명사거리역,5,230451,129261,74521,0
광명사거리역,5,71984,141924,208382,0
광흥창역,5,72690,72943,64844,0
광흥창역,5,67268,58391,72664,0
교대역,5,161780,441551,499781,0
교대역,5,510233,342448,236343,0
군자역,5,275586,206090,181042,0
군자역,5,123455,191365,295085,0
굽은다리역,5,102248,63031,37339,0
굽은다리역,5,30244,61506,102792,0
낙성대역,5,329464,230521,146096,0
낙성대역,5,115431,199883,365354,0
남구로역,5,116073,109403,128666,0
남구로역,5,175050,98148,99019,0
노원역,5,415899,454024,376864,0
노원역,5,306614,501773,565215,0
논현역,5,45411,161698,265224,0
논현역,5,268720,137589,85337,0
단대오거리역,5,148254,81899,46152,0
단대오거리역,5,44650,73320,141771,0
당산역,5,167605,153929,143333,0
당산역,5,151710,157181,231403,0
대림역,5,367339,289898,171037,0
대림역,5,177275,323425,339921,0
대청역,5,100334,81334,51413,0
대청역,5,55548,62519,99580,0
대흥역,5,57867,90051,76504,0
대흥역,5,84164,81048,72897,0
독바위역,5,36636,15480,6168,0
독바위역,5,6923,15471,35409,0
동대문역,5,104035,348722,222457,0
동대문역,5,247283,283572,153967,0
동대입구역,5,30003,139313,151591,0
동대입구역,5,156240,150396,59487,0
동묘앞역,5,87513,173312,88021,0
동묘앞역,5,93601,160180,110324,0
디지털미디어시티역,5,157104,107707,96296,0
디지털미디어시티역,5,137857,95314,151502,0
마들역,5,177639,77357,28285,0
마들역,5,25164,76381,157393,0
마포구청역,5,147507,114232,89508,0
마포구청역,5,74369,93715,136663,0
면목역,5,190580,110487,52982,0
면목역,5,55480,102998,174398,0
미아사거리역,5,275371,190540,119344,0
미아사거리역,5,88417,192924,291268,0
미아역,5,147904,119216,68192,0
미아역,5,71798,103032,143393,0
봉화산역,5,124295,55533,24531,0
봉화산역,5,26686,56226,106008,0
