역명,month,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,kmeans_label
서초역,2,15586.0,53897.0,11831.0,0
서초역,2,34534.0,40194.0,6115.0,0
석계역,2,30101.0,35198.0,7918.0,0
석계역,2,13052.0,43624.0,16976.0,0
송정역,2,16025.0,24362.0,5765.0,0
송정역,2,10344.0,25640.0,8242.0,0
수락산역,2,31320.0,49622.0,9780.0,0
수락산역,2,20959.0,52601.0,18249.0,0
숙대입구역,2,14888.0,27623.0,8033.0,0
숙대입구역,2,12953.0,25724.0,8378.0,0
숭실대입구역,2,27118.0,28472.0,4421.0,0
숭실대입구역,2,10341.0,36171.0,15621.0,0
신당역,2,25281.0,72505.0,22298.0,0
신당역,2,37712.0,67182.0,15805.0,0
신대방삼거리역,2,32532.0,44620.0,8332.0,0
신대방삼거리역,2,19140.0,51597.0,17746.0,0
신림역,2,67300.0,92493.0,26101.0,1
신림역,2,36071.0,107552.0,40219.0,1
신용산역,2,9506.0,32366.0,11360.0,0
신용산역,2,16498.0,30205.0,7032.0,0
신정역,2,29331.0,24800.0,4932.0,0
신정역,2,9608.0,32043.0,15416.0,0
신촌역,2,21492.0,73895.0,17113.0,0
신촌역,2,36557.0,61478.0,12116.0,0
신풍역,2,26137.0,34387.0,7316.0,0
신풍역,2,15875.0,36673.0,14145.0,0
아차산역,2,33376.0,51293.0,11556.0,0
아차산역,2,20119.0,53656.0,19838.0,0
어린이대공원역,2,10453.0,23009.0,5257.0,0
어린이대공원역,2,12489.0,20602.0,5645.0,0
여의도역,2,8502.0,33882.0,9444.0,0
여의도역,2,20683.0,23752.0,4612.0,0
역촌역,2,11755.0,15988.0,2795.0,0
역촌역,2,6159.0,17729.0,6420.0,0
영등포구청역,2,26693.0,66932.0,20651.0,0
영등포구청역,2,36408.0,61775.0,14301.0,0
오목교역,2,21018.0,49181.0,14722.0,0
오목교역,2,22935.0,47409.0,14176.0,0
왕십리역,2,16974.0,41422.0,13994.0,0
왕십리역,2,18720.0,39619.0,9403.0,0
용마산역,2,14869.0,15313.0,2579.0,0
용마산역,2,7449.0,19565.0,8606.0,0
월곡역,2,24283.0,32689.0,6381.0,0
월곡역,2,12892.0,37083.0,12578.0,0
을지로3가역,2,11288.0,71060.0,27691.0,0
을지로3가역,2,48355.0,52533.0,5485.0,0
을지로4가역,2,10191.0,71267.0,25527.0,0
을지로4가역,2,47680.0,54317.0,4028.0,0
을지로입구역,2,7413.0,62161.0,23332.0,0
을지로입구역,2,32798.0,49079.0,4882.0,0
이수역,2,19263.0,43768.0,12715.0,0
이수역,2,18880.0,41735.0,11281.0,0
일원역,2,19378.0,39335.0,5981.0,0
일원역,2,20431.0,33879.0,10044.0,0
잠실새내역,2,31273.0,58451.0,15477.0,0
잠실새내역,2,22939.0,62266.0,19391.0,0
장지역,2,25003.0,43021.0,11410.0,0
장지역,2,18419.0,41984.0,14395.0,0
종각역,2,12048.0,91968.0,30222.0,0
종각역,2,48972.0,67818.0,7830.0,0
종로3가역,2,31051.0,284021.0,106141.0,1
종로3가역,2,105835.0,284274.0,21024.0,1
종합운동장역,2,12142.0,23592.0,5097.0,0
종합운동장역,2,14739.0,21043.0,6678.0,0
중화역,2,24182.0,30364.0,7153.0,0
중화역,2,13707.0,34248.0,13725.0,0
증산역,2,30134.0,31472.0,5610.0,0
증산역,2,11048.0,39767.0,17372.0,0
창동역,2,59720.0,116799.0,28999.0,1
창동역,2,46204.0,128390.0,36923.0,1
청담역,2,16503.0,42468.0,13444.0,0
청담역,2,33597.0,27865.0,8257.0,0
총신대입구역,2,38916.0,83310.0,20443.0,0
총신대입구역,2,29623.0,94180.0,24962.0,0
충무로역,2,12592.0,67478.0,30767.0,0
충무로역,2,47385.0,57150.0,7655.0,0
충정로역,2,17198.0,31731.0,7484.0,0
충정로역,2,18411.0,28906.0,10337.0,0
태릉입구역,2,24904.0,39039.0,10207.0,0
태릉입구역,2,16084.0,41682.0,13470.0,0
학동역,2,11004.0,38182.0,12824.0,0
학동역,2,28591.0,25489.0,4972.0,0
한양대역,2,2285.0,7801.0,1984.0,0
한양대역,2,5301.0,6359.0,1162.0,0
행당역,2,21610.0,22886.0,3928.0,0
행당역,2,7954.0,25158.0,10793.0,0
홍제역,2,48205.0,72385.0,13304.0,0
홍제역,2,26104.0,77125.0,29477.0,0
회현역,2,12631.0,133949.0,18774.0,0
회현역,2,53742.0,106029.0,5412.0,0
효창공원앞역,2,12527.0,18135.0,4185.0,0
효창공원앞역,2,7741.0,18689.0,6049.0,0
가락시장역,3,38750.0,89373.0,24444.0,0
가락시장역,3,40127.0,87524.0,23409.0,0
강남구청역,3,10997.0,33213.0,11582.0,0
강남구청역,3,25162.0,25670.0,6308.0,0
강동구청역,3,27157.0,35803.0,8189.0,0
강동구청역,3,17819.0,39435.0,15160.0,0
강동역,3,39103.0,60131.0,15221.0,0
강동역,3,28511.0,62279.0,21064.0,0
건대입구역,3,45887.0,90641.0,28926.0,1
건대입구역,3,44821.0,91851.0,27381.0,0
공덕역,3,33848.0,77484.0,26543.0,0
공덕역,3,39406.0,70834.0,19398.0,0
광흥창역,3,18087.0,33675.0,5639.0,0
광흥창역,3,18864.0,28894.0,8890.0,0
교대역,3,37680.0,151947.0,58530.0,1
교대역,3,76696.0,139674.0,22608.0,1
구산역,3,24449.0,29897.0,4596.0,0
구산역,3,10020.0,36129.0,15113.0,0
군자역,3,44369.0,68948.0,25249.0,0
군자역,3,30692.0,72483.0,24820.0,0
굽은다리역,3,33618.0,43832.0,9567.0,0
굽은다리역,3,16765.0,45802.0,18842.0,0
남구로역,3,24092.0,32497.0,9805.0,0
남구로역,3,19229.0,34666.0,12960.0,0
